Model,Coverage_target,Coverage,Retained_questions,Accuracy,ECE,Mean_confidence
w/o RAG,0.5,0.5,250,0.312,0.05897149140892738,0.2530285085910726
w/o RAG,0.7,0.7,350,0.29714285714285715,0.044979636720662464,0.2521632204221947
w/o RAG,0.9,0.9,450,0.28888888888888886,0.037206384116070745,0.2516825047728181
w/o RAG,1.0,1.0,500,0.288,0.03648574570446367,0.2515142542955363
Sparse Only,0.5,0.5,250,0.828,0.17718195716651275,0.6508180428334872
Sparse Only,0.7,0.7,350,0.7714285714285715,0.17488103617378253,0.5965475352547889
Sparse Only,0.9,0.9,450,0.72,0.17240828624766494,0.547591713752335
Sparse Only,1.0,1.0,500,0.698,0.17698000385581383,0.5210199961441861
Dense Only,0.5,0.5,250,0.824,0.1738024422319252,0.6763360594754515
Dense Only,0.7,0.7,350,0.76,0.1646306160500639,0.6140397423123481
Dense Only,0.9,0.9,450,0.7422222222222222,0.20464339843132331,0.5521002136283305
Dense Only,1.0,1.0,500,0.698,0.18911460628756135,0.521954644566127
Hybrid w/o Rerank,0.5,0.5,250,0.908,0.23857363139975762,0.6694263686002423
Hybrid w/o Rerank,0.7,0.7,350,0.8257142857142857,0.2141935472631301,0.6115207384511555
Hybrid w/o Rerank,0.9,0.9,450,0.7955555555555556,0.2358237555844241,0.5597317999711314
Hybrid w/o Rerank,1.0,1.0,500,0.774,0.24315093260285942,0.5308490673971406
VERITA-QA,0.5,0.5,250,0.856,0.19321151493090835,0.6659207590906772
VERITA-QA,0.7,0.7,350,0.7771428571428571,0.16996133639268798,0.6094188593370159
VERITA-QA,0.9,0.9,450,0.7377777777777778,0.18065359167816208,0.5588643383338299
VERITA-QA,1.0,1.0,500,0.72,0.19219430870680615,0.5293718283039867
