Model,Risk stratum,Count,Accuracy,ECE,Mean confidence,Mean entropy
w/o RAG,High risk / low margin,426,0.25586854460093894,0.005434941319772402,0.25043360328116654,0.9999844867272365
w/o RAG,Low risk / high margin,74,0.47297297297297297,0.21523767364876734,0.25773529932420564,0.9997736419590293
Sparse Only,High risk / low margin,167,0.5149700598802395,0.1381543523599471,0.3768157075202925,0.8569410861132964
Sparse Only,Low risk / high margin,167,0.8622754491017964,0.14662677145648337,0.7156486776453129,0.6428720586613883
Sparse Only,Medium risk,166,0.7168674698795181,0.2573165259899036,0.47029184186407824,0.8265070043853193
Dense Only,High risk / low margin,167,0.5209580838323353,0.1830669472538723,0.33789113657846304,0.9017731472205017
Dense Only,Low risk / high margin,167,0.8083832335329342,0.10531847366867726,0.7421942534381742,0.6083370525224429
Dense Only,Medium risk,166,0.7650602409638554,0.27949962560069225,0.48556061536316325,0.8352436766321034
Hybrid w/o Rerank,High risk / low margin,167,0.6107784431137725,0.23792815986894914,0.3728502832448233,0.8615090510961875
Hybrid w/o Rerank,Low risk / high margin,167,0.9041916167664671,0.16933470916499202,0.7348569076014749,0.6202390441346565
Hybrid w/o Rerank,Medium risk,166,0.8072289156626506,0.3226660673057923,0.48456284835685826,0.8401598976307456
VERITA-QA,High risk / low margin,167,0.5329341317365269,0.1636862155404436,0.36924791619608327,0.8663984461624247
VERITA-QA,Low risk / high margin,167,0.8802395209580839,0.15359457131162024,0.7313339826129089,0.6223767463008528
VERITA-QA,Medium risk,166,0.7469879518072289,0.25970640330788203,0.48728154849934696,0.8284714151045897
