Model,Scenario,Step,Stabilizing force trajectory,Destabilizing force trajectory,Target stabilizing force,Target destabilizing force,Target VE free energy,Field potential Phi,Lyapunov V,Delta Lyapunov V,Jacobian eigenvalue 1,Jacobian eigenvalue 2,Locally stable
Hybrid w/o Rerank,Nominal relaxation,0,1.9839410984720198,2.090993602716409,2.7554737478778053,1.5945262521221946,-0.4554737478778055,0.10705250424438906,0.8417424593051491,,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,1,2.1353837490407788,1.9863120529456169,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.1490716960951619,0.5380077203845539,-0.3037347389205952,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,2,2.2508361809992667,1.9096713346494416,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.34116484634982513,0.3539754969461968,-0.18403222343835712,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,3,2.338977973514625,1.8537432644738026,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.48523470904082266,0.2406621895548787,-0.11331330739131809,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,4,2.406372866794733,1.813085760735662,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.593287106059071,0.16963968397833773,-0.07102250557654097,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,5,2.4579885323364925,1.7836621285137355,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.674326403822757,0.12426983320405759,-0.04536985077428014,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,6,2.4975879628256052,1.7624820856800838,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.7351058771455214,0.09471424015811492,-0.02955559304594267,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,7,2.5280243111986582,1.7473338290610634,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.7806904821375948,0.07508340181558965,-0.01963083834252527,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,8,2.5514630961486096,1.7365841602669594,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8148789358816502,0.06180079528543764,-0.013282606530152008,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,9,2.5695497495073067,1.7290294733176155,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8405202761896913,0.05265884968201747,-0.009141945603420167,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,10,2.583536018182704,1.7237847367619816,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8597512814207222,0.04627033874407985,-0.006388510937937623,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,11,2.5943753809740424,1.7202008456300468,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8741745353439956,0.041746787272423314,-0.004523551471656534,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,12,2.6027951219339225,1.7178031461474719,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8849919757864506,0.03850795542063154,-0.0032388318517917736,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,13,2.6093508093129247,1.7162457531946327,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.893105056118292,0.036167550116159124,-0.0023404053044724163,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,14,2.614467506624223,1.71527764025705,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8991898663671729,0.034463657808957986,-0.001703892307201138,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,15,2.618470972982645,1.7147174989288114,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9037534740538335,0.03321569613790306,-0.0012479616710549257,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,16,2.621611305752669,1.71443512593384,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9071761798188291,0.03229729143048254,-0.0009184047074205226,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,17,2.624080873721189,1.7143376645786135,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9097432091425754,0.031618861933938563,-0.0006784294965439738,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,18,2.626027933962111,1.7143594528267252,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9116684811353857,0.03111621473138891,-0.0005026472025496526,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,19,2.6275669830823634,1.7144545479523705,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9131124351299928,0.0307429366211667,-0.000373278110222211,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,20,2.628786635692389,1.7145912350664403,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9141954006259485,0.030465224523282326,-0.0002777120978843736,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,21,2.6297556287388715,1.7147480039909564,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9150076247479151,0.0302583151022253,-0.0002069094210570277,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,22,2.6305274040025735,1.7149106111631836,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9156167928393899,0.03010398274949743,-0.00015433235272786783,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,23,2.6311436107477872,1.715069941839791,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9160736689079962,0.029988764129501258,-0.00011521861999617272,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,24,2.6316367873035706,1.7152204613441195,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9164163259594511,0.02990268494397035,-8.60791855309094e-05,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,25,2.6320324175628125,1.7153590988147704,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.916673318748042,0.029838338869766712,-6.434607420363614e-05,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,0,1.9839410984720198,2.090993602716409,2.7554737478778053,1.5945262521221946,-0.4554737478778055,0.10705250424438906,0.8417424593051491,,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,1,2.1353837490407788,1.9863120529456169,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.1490716960951619,0.5380077203845539,-0.3037347389205952,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,2,2.2508361809992667,1.9096713346494416,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.34116484634982513,0.3539754969461968,-0.18403222343835712,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,3,2.338977973514625,1.8537432644738026,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.48523470904082266,0.2406621895548787,-0.11331330739131809,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,4,2.406372866794733,1.813085760735662,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.593287106059071,0.16963968397833773,-0.07102250557654097,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,5,2.4579885323364925,1.7836621285137355,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.674326403822757,0.12426983320405759,-0.04536985077428014,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,6,2.4975879628256052,1.7624820856800838,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.7351058771455214,0.09471424015811492,-0.02955559304594267,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,7,2.5280243111986582,1.7473338290610634,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.7806904821375948,0.07508340181558965,-0.01963083834252527,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,8,2.5514630961486096,1.7365841602669594,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8148789358816502,0.06180079528543764,-0.013282606530152008,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,9,2.5695497495073067,1.7290294733176155,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8405202761896913,0.05265884968201747,-0.009141945603420167,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,10,2.583536018182704,1.7237847367619816,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8597512814207222,0.04627033874407985,-0.006388510937937623,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,11,2.5943753809740424,1.7202008456300468,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8741745353439956,0.041746787272423314,-0.004523551471656534,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,12,2.6027951219339225,1.7178031461474719,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8849919757864506,0.03850795542063154,-0.0032388318517917736,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,13,2.6093508093129247,1.7162457531946327,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.893105056118292,0.036167550116159124,-0.0023404053044724163,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,14,2.614467506624223,1.71527764025705,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.8991898663671729,0.034463657808957986,-0.001703892307201138,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,15,2.618470972982645,1.7147174989288114,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9037534740538335,0.03321569613790306,-0.0012479616710549257,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,16,2.621611305752669,1.71443512593384,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9071761798188291,0.03229729143048254,-0.0009184047074205226,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,17,2.624080873721189,1.7143376645786135,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9097432091425754,0.031618861933938563,-0.0006784294965439738,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,18,2.626027933962111,1.7143594528267252,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9116684811353857,0.03111621473138891,-0.0005026472025496526,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,19,2.6275669830823634,1.7144545479523705,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9131124351299928,0.0307429366211667,-0.000373278110222211,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,20,2.628786635692389,1.7145912350664403,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9141954006259485,0.030465224523282326,-0.0002777120978843736,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,21,2.6297556287388715,1.7147480039909564,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9150076247479151,0.0302583151022253,-0.0002069094210570277,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,22,2.6305274040025735,1.7149106111631836,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9156167928393899,0.03010398274949743,-0.00015433235272786783,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,23,2.6311436107477872,1.715069941839791,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9160736689079962,0.029988764129501258,-0.00011521861999617272,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,24,2.6316367873035706,1.7152204613441195,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.9164163259594511,0.02990268494397035,-8.60791855309094e-05,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,25,2.6320324175628125,1.7153590988147704,2.7554737478778053,1.5945262521221946,-0.4554737478778055,-0.916673318748042,0.029838338869766712,-6.434607420363614e-05,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,0,1.8324129874843704,2.113976911138897,2.5450180381727368,1.6124819618272632,-0.24501803817273704,0.2815639236545264,0.7593031424516472,,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,1,1.9808184030475737,2.001460212809738,2.5450180381727368,1.6124819618272632,-0.24501803817273704,0.020641809762164343,0.46962530801275226,-0.28967783443889494,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,2,2.093558013409338,1.9185082377522307,2.5450180381727368,1.6124819618272632,-0.24501803817273704,-0.17504977565710722,0.29746823551587304,-0.17215707249687923,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,3,2.1793042265928313,1.8574857618712706,2.5450180381727368,1.6124819618272632,-0.24501803817273704,-0.3218184647215607,0.19377345401630652,-0.10369478149956651,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,4,2.244602835972553,1.8127078544526518,2.5450180381727368,1.6124819618272632,-0.24501803817273704,-0.43189498151990113,0.13033970179061097,-0.06343375222569556,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,5,2.294397621085788,1.7799452519671317,2.5450180381727368,1.6124819618272632,-0.24501803817273704,-0.5144523691186564,0.09085454700530585,-0.03948515478530512,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,6,2.3324249972258233,1.7560545874081004,2.5450180381727368,1.6124819618272632,-0.24501803817273704,-0.5763704098177229,0.06580889987523128,-0.025045647130074566,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,7,2.3615109977940896,1.738702057452067,2.5450180381727368,1.6124819618272632,-0.24501803817273704,-0.6228089403420225,0.04960634640806507,-0.01620255346716621,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,8,2.383794837044779,1.7261569988095313,2.5450180381727368,1.6124819618272632,-0.24501803817273704,-0.6576378382352475,0.038914934614866004,-0.010691411793199067,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,9,2.400897267707122,1.7171377560519556,2.5450180381727368,1.6124819618272632,-0.24501803817273704,-0.6837595116551662,0.03172363174440361,-0.007191302870462393,-0.8500000000000001,-1.25,True
