Model,Scenario,Initial Lyapunov V,Final Lyapunov V,Lyapunov contraction %,Max positive Delta V,Jacobian eigenvalue 1,Jacobian eigenvalue 2,Locally stable
Dense Only,Coverage-capped deployment,0.6371232528088928,0.08564044791623424,86.55826050318048,-6.220717439410495e-05,-0.8500000000000001,-1.25,True
Dense Only,No calibration control,0.5930589554232195,0.030553361756163723,94.84817462466944,-5.865748866492465e-05,-0.8500000000000001,-1.25,True
Dense Only,Nominal relaxation,0.6371232528088928,0.08564044791623424,86.55826050318048,-6.220717439410495e-05,-0.8500000000000001,-1.25,True
Dense Only,Retrieval-noise perturbation,0.6097206700889617,0.05364495034872264,91.20171695329017,-5.5710794509715444e-05,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Coverage-capped deployment,0.687020860093262,0.007332139401777448,98.93276320594077,-3.218805975422831e-05,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,No calibration control,0.8417424593051491,0.029838338869766712,96.45517004163031,-6.434607420363614e-05,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Nominal relaxation,0.8417424593051491,0.029838338869766712,96.45517004163031,-6.434607420363614e-05,-0.8500000000000001,-1.25,True
Hybrid w/o Rerank,Retrieval-noise perturbation,0.7593031424516472,0.014656204449176861,98.069782195046,-4.5759805548630655e-05,-0.8500000000000001,-1.25,True
Sparse Only,Coverage-capped deployment,0.6400874369844614,0.04025140296072226,93.71157741349337,-5.068185596444896e-05,-0.8500000000000001,-1.25,True
Sparse Only,No calibration control,0.7001519309940724,0.01307257886256573,98.13289397859614,-4.643337833964804e-05,-0.8500000000000001,-1.25,True
Sparse Only,Nominal relaxation,0.7443710028503071,0.06691108093962794,91.01105756626528,-6.531374765852971e-05,-0.8500000000000001,-1.25,True
Sparse Only,Retrieval-noise perturbation,0.6781464713067301,0.04496694887500805,93.36913914948776,-5.4815289433816916e-05,-0.8500000000000001,-1.25,True
VERITA-QA,Coverage-capped deployment,0.6422908392450326,0.019382489963045157,96.98228765245541,-4.0699543485029493e-05,-0.8500000000000001,-1.25,True
VERITA-QA,No calibration control,0.7187373894154223,0.00777879046110085,98.91771451219093,-3.677530598949954e-05,-0.8500000000000001,-1.25,True
VERITA-QA,Nominal relaxation,0.7468038094628182,0.03976686887930479,94.67505811092349,-5.8508818428539e-05,-0.8500000000000001,-1.25,True
VERITA-QA,Retrieval-noise perturbation,0.6862021007640831,0.027321365833144085,96.01846660004074,-4.8443145421392386e-05,-0.8500000000000001,-1.25,True
w/o RAG,Coverage-capped deployment,0.2672680000000002,0.051292482657116265,80.80859562045728,-3.1126445510065714e-05,-0.8500000000000001,-1.25,True
w/o RAG,No calibration control,0.2783560000000002,0.055062708363936466,80.21860194716967,0.006985580094733839,-0.8500000000000001,-1.25,True
w/o RAG,Nominal relaxation,0.2672680000000002,0.051292482657116265,80.80859562045728,-3.1126445510065714e-05,-0.8500000000000001,-1.25,True
w/o RAG,Retrieval-noise perturbation,0.2502848800000002,0.023061977702374278,90.78570878817199,-2.622885964372393e-05,-0.8500000000000001,-1.25,True
